,Date,Uncleaned,Cleaned
49,4/25/2020 16:13,"b'@grynbaum @jaketapper So, not sure what\xe2\x80\x99s worse: @FoxNews screwing up or @GiniaNYT , the always reliable @nytimes N\xe2\x80\xa6 https://t.co/a8Qz8kwJ1G'",b grynbaum jaketapp sure xe x x wor foxnew screw ginianyt alway reliabl nytim n xe x xa http co qz kwj g
50,4/25/2020 16:11,b'@cnni Red China has exported the #WuhanCoronavirus to the world. CCP is responsible for the global virus outbreak.',b cnni red china export wuhancoronaviru world ccp respon global viru outbreak
51,4/25/2020 16:03,"b'With a clear trend of #WuhanCoronavirus death peaking three weeks after #lockdownuk initiated, confirm cases are ho\xe2\x80\xa6 https://t.co/hRPTLhbJHw'",b clear trend wuhancoronaviru death peak three week lockdownuk initi confirm case ho xe x xa http co hrptlhbjhw
52,4/25/2020 16:00,"b'Listen to Chinese people describing #CCP Chinese Communist Party, the total control of people\xe2\x80\x99s minds, and worse.\xe2\x80\xa6 https://t.co/Otnll9U5uY'",b listen chine peopl describ ccp chine communist parti total control peopl xe x x mind wor xe x xa http co otnll u uy
53,4/25/2020 15:54,b'Great article @latimes such Journalism\xf0\x9f\x99\x84. Vietnam is so good at stopping #COVID19 #CoronaCrisis \xf0\x9f\xa4\x94Geez how do they do\xe2\x80\xa6 https://t.co/hRR7wRjnp3',b great articl latim journal xf x f x x vietnam good stop covid coronacrisi xf x f xa x geez xe x xa http co hrr wrjnp
54,4/25/2020 15:38,"b'I guess now you can get the COVID-19 \xf0\x9f\x98\xb7 #WuhanCoronavirus #ChinaVirus from fire \xf0\x9f\x94\xa5, because my extinguisher\xf0\x9f\xa7\xafsays to s\xe2\x80\xa6 https://t.co/a13SvKImmF'",b guess get covid xf x f x xb wuhancoronaviru chinaviru fire xf x f x xa extinguish xf x f xa xafsay xe x xa http co svkimmf
55,4/25/2020 15:38,b'@Chellaney @KanchanGupta Their treating the Africans in China abominably is not racism?! #ChineseVirusCorona\xe2\x80\xa6 https://t.co/0mteVPGsOO',b chellaney kanchangupta treat african china abomin racism chineseviruscorona xe x xa http co mtevpgsoo
56,4/25/2020 15:23,"b'Many may have missed this. \nThe reason for #hongkong suffers less damage from #WuhanCoronavirus, is because the\xe2\x80\xa6 https://t.co/a5b3yDbDgC'",b mani may miss nthe reason hongkong suffer le damag wuhancoronaviru xe x xa http co b ydbdgc
57,4/25/2020 15:22,b'@mitchellvii Bingo!  Incentivizing the hospitals and public health systems to ID #WuhanCoronaVirus by paying 20% mo\xe2\x80\xa6 https://t.co/wrOx6ly7P1',b mitchellvii bingo incentiv hospit public health system id wuhancoronaviru pay mo xe x xa http co wrox ly p
58,4/25/2020 15:20,"b'@realDonaldTrump We r fighting for you, President Trump! Every intelligent person knows what you said concerning th\xe2\x80\xa6 https://t.co/mi1E6xsfFB'",b realdonaldtrump r fight presid trump everi intellig person know said concern th xe x xa http co mi e xsffb
